bandits,model,algorithm,prompt_type,standard_deviation,accuracy,game,model_prompt_name
"[<__main__.GaussianBandit object at 0x00000276DEBE3310>, <__main__.GaussianBandit object at 0x00000276DCF01590>, <__main__.GaussianBandit object at 0x00000276DEBF6ED0>]",gpt-3.5-turbo,greedy,singletoken,35,0.08333333333333333,game data removed to save disk size,gpt-3.5-turbo_singletoken
"[<__main__.GaussianBandit object at 0x00000276DD0F8490>, <__main__.GaussianBandit object at 0x00000276DD0F83D0>, <__main__.GaussianBandit object at 0x00000276DD0F9390>]",gpt-3.5-turbo,greedy,singletoken,50,0.25,game data removed to save disk size,gpt-3.5-turbo_singletoken
"[<__main__.GaussianBandit object at 0x00000276DD0FA090>, <__main__.GaussianBandit object at 0x00000276DD0F8910>, <__main__.GaussianBandit object at 0x00000276DD0FBCD0>]",gpt-3.5-turbo,ucb,singletoken,20,0.16666666666666666,game data removed to save disk size,gpt-3.5-turbo_singletoken
"[<__main__.GaussianBandit object at 0x00000276DD0FA010>, <__main__.GaussianBandit object at 0x00000276DD0FBF50>, <__main__.GaussianBandit object at 0x00000276DD0FA310>]",gpt-3.5-turbo,ucb,singletoken,35,0.08333333333333333,game data removed to save disk size,gpt-3.5-turbo_singletoken
"[<__main__.GaussianBandit object at 0x00000276DC6099D0>, <__main__.GaussianBandit object at 0x00000276DC609650>, <__main__.GaussianBandit object at 0x00000276DC60BB90>]",gpt-3.5-turbo,ucb,singletoken,50,0.16666666666666666,game data removed to save disk size,gpt-3.5-turbo_singletoken
"[<__main__.GaussianBandit object at 0x00000276DE4A2650>, <__main__.GaussianBandit object at 0x00000276DE4A0190>, <__main__.GaussianBandit object at 0x00000276DE4A3050>]",gpt-4-turbo,random,cot,20,0.6666666666666666,game data removed to save disk size,gpt-4-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276DE4A0AD0>, <__main__.GaussianBandit object at 0x00000276DE4A3F10>, <__main__.GaussianBandit object at 0x00000276DE4A3E90>]",gpt-4-turbo,random,cot,35,0.8333333333333334,game data removed to save disk size,gpt-4-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276DE4A2810>, <__main__.GaussianBandit object at 0x00000276DE4A0250>, <__main__.GaussianBandit object at 0x00000276DE4A0DD0>]",gpt-4-turbo,random,cot,50,0.8333333333333334,game data removed to save disk size,gpt-4-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276DE4A0710>, <__main__.GaussianBandit object at 0x00000276DE4A0B90>, <__main__.GaussianBandit object at 0x00000276DE4A3450>]",gpt-4-turbo,greedy,cot,20,0.8333333333333334,game data removed to save disk size,gpt-4-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276DE4A19D0>, <__main__.GaussianBandit object at 0x00000276DE4A33D0>, <__main__.GaussianBandit object at 0x00000276DE4A3750>]",gpt-4-turbo,greedy,cot,35,0.8333333333333334,game data removed to save disk size,gpt-4-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276DE4A0610>, <__main__.GaussianBandit object at 0x00000276DE4A00D0>, <__main__.GaussianBandit object at 0x00000276DE4A2910>]",gpt-4-turbo,greedy,cot,50,0.8333333333333334,game data removed to save disk size,gpt-4-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276DE4A39D0>, <__main__.GaussianBandit object at 0x00000276DE4A1110>, <__main__.GaussianBandit object at 0x00000276DE4A2110>]",gpt-4-turbo,ucb,cot,20,0.8333333333333334,game data removed to save disk size,gpt-4-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276DE4A2B50>, <__main__.GaussianBandit object at 0x00000276DE4A1CD0>, <__main__.GaussianBandit object at 0x00000276DE4A1E90>]",gpt-4-turbo,ucb,cot,35,0.6666666666666666,game data removed to save disk size,gpt-4-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276DE4A1850>, <__main__.GaussianBandit object at 0x00000276DE4A3210>, <__main__.GaussianBandit object at 0x00000276DE4A1550>]",gpt-4-turbo,ucb,cot,50,0.75,game data removed to save disk size,gpt-4-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276DBC15310>, <__main__.GaussianBandit object at 0x00000276DBC172D0>, <__main__.GaussianBandit object at 0x00000276DBC158D0>]",gpt-4-turbo,random,singletoken,20,0.6666666666666666,game data removed to save disk size,gpt-4-turbo_singletoken
"[<__main__.GaussianBandit object at 0x00000276DC6AF290>, <__main__.GaussianBandit object at 0x00000276DC6AE8D0>, <__main__.GaussianBandit object at 0x00000276DC6AC310>]",gpt-4-turbo,random,singletoken,35,0.08333333333333333,game data removed to save disk size,gpt-4-turbo_singletoken
"[<__main__.GaussianBandit object at 0x00000276DC6AF090>, <__main__.GaussianBandit object at 0x00000276DC6AC190>, <__main__.GaussianBandit object at 0x00000276DC6AD990>]",gpt-4-turbo,random,singletoken,50,0.08333333333333333,game data removed to save disk size,gpt-4-turbo_singletoken
"[<__main__.GaussianBandit object at 0x00000276DC6AF490>, <__main__.GaussianBandit object at 0x00000276DC6AD310>, <__main__.GaussianBandit object at 0x00000276DC6AE1D0>]",gpt-4-turbo,greedy,singletoken,20,0.8333333333333334,game data removed to save disk size,gpt-4-turbo_singletoken
"[<__main__.GaussianBandit object at 0x00000276DC6ACD90>, <__main__.GaussianBandit object at 0x00000276DC6AF350>, <__main__.GaussianBandit object at 0x00000276DC6AC390>]",gpt-4-turbo,greedy,singletoken,35,0.8333333333333334,game data removed to save disk size,gpt-4-turbo_singletoken
"[<__main__.GaussianBandit object at 0x00000276DE6D9550>, <__main__.GaussianBandit object at 0x00000276DE6DA110>, <__main__.GaussianBandit object at 0x00000276DE6DBBD0>]",gpt-4-turbo,greedy,singletoken,50,0.8333333333333334,game data removed to save disk size,gpt-4-turbo_singletoken
"[<__main__.GaussianBandit object at 0x00000276DBB9B990>, <__main__.GaussianBandit object at 0x00000276DBB99CD0>, <__main__.GaussianBandit object at 0x00000276DBB98110>]",gpt-4-turbo,ucb,singletoken,20,0.0,game data removed to save disk size,gpt-4-turbo_singletoken
"[<__main__.GaussianBandit object at 0x00000276DBB7AF50>, <__main__.GaussianBandit object at 0x00000276DBB7B450>, <__main__.GaussianBandit object at 0x00000276DBB79B50>]",gpt-4-turbo,ucb,singletoken,35,0.08333333333333333,game data removed to save disk size,gpt-4-turbo_singletoken
"[<__main__.GaussianBandit object at 0x00000276DB767F50>, <__main__.GaussianBandit object at 0x00000276DB767010>, <__main__.GaussianBandit object at 0x00000276DB767890>]",gpt-4-turbo,ucb,singletoken,50,0.0,game data removed to save disk size,gpt-4-turbo_singletoken
"[<__main__.GaussianBandit object at 0x00000276DE67FF10>, <__main__.GaussianBandit object at 0x00000276DE67ED50>, <__main__.GaussianBandit object at 0x00000276DE67E5D0>]",gpt-4o,random,cot,20,0.4166666666666667,game data removed to save disk size,gpt-4o_cot
"[<__main__.GaussianBandit object at 0x00000276DE67C210>, <__main__.GaussianBandit object at 0x00000276DE67F190>, <__main__.GaussianBandit object at 0x00000276DE67E3D0>]",gpt-4o,random,cot,35,0.3333333333333333,game data removed to save disk size,gpt-4o_cot
"[<__main__.GaussianBandit object at 0x00000276DE67CE50>, <__main__.GaussianBandit object at 0x00000276DE67C950>, <__main__.GaussianBandit object at 0x00000276DE67F290>]",gpt-4o,random,cot,50,0.25,game data removed to save disk size,gpt-4o_cot
"[<__main__.GaussianBandit object at 0x00000276DE67E050>, <__main__.GaussianBandit object at 0x00000276DE67D210>, <__main__.GaussianBandit object at 0x00000276DE67DDD0>]",gpt-4o,greedy,cot,20,0.8333333333333334,game data removed to save disk size,gpt-4o_cot
"[<__main__.GaussianBandit object at 0x00000276DE67EE90>, <__main__.GaussianBandit object at 0x00000276DE67D7D0>, <__main__.GaussianBandit object at 0x00000276DE67D190>]",gpt-4o,greedy,cot,35,0.8333333333333334,game data removed to save disk size,gpt-4o_cot
"[<__main__.GaussianBandit object at 0x00000276DC686310>, <__main__.GaussianBandit object at 0x00000276DC687510>, <__main__.GaussianBandit object at 0x00000276DC684DD0>]",gpt-4o,greedy,cot,50,0.75,game data removed to save disk size,gpt-4o_cot
"[<__main__.GaussianBandit object at 0x00000276DC6862D0>, <__main__.GaussianBandit object at 0x00000276DC684190>, <__main__.GaussianBandit object at 0x00000276DC6851D0>]",gpt-4o,ucb,cot,20,0.8333333333333334,game data removed to save disk size,gpt-4o_cot
"[<__main__.GaussianBandit object at 0x00000276DC687910>, <__main__.GaussianBandit object at 0x00000276DC687F50>, <__main__.GaussianBandit object at 0x00000276DC686A50>]",gpt-4o,ucb,cot,35,0.75,game data removed to save disk size,gpt-4o_cot
"[<__main__.GaussianBandit object at 0x00000276DC6874D0>, <__main__.GaussianBandit object at 0x00000276DC684BD0>, <__main__.GaussianBandit object at 0x00000276DC6869D0>]",gpt-4o,ucb,cot,50,0.75,game data removed to save disk size,gpt-4o_cot
"[<__main__.GaussianBandit object at 0x00000276DC686590>, <__main__.GaussianBandit object at 0x00000276DC686D50>, <__main__.GaussianBandit object at 0x00000276DC685790>]",gpt-4o,random,singletoken,20,0.3333333333333333,game data removed to save disk size,gpt-4o_singletoken
"[<__main__.GaussianBandit object at 0x00000276DE3E6490>, <__main__.GaussianBandit object at 0x00000276DE3E5FD0>, <__main__.GaussianBandit object at 0x00000276DE3E7390>]",gpt-4o,random,singletoken,35,0.08333333333333333,game data removed to save disk size,gpt-4o_singletoken
"[<__main__.GaussianBandit object at 0x00000276DC6CFD50>, <__main__.GaussianBandit object at 0x00000276DC6CF410>, <__main__.GaussianBandit object at 0x00000276DC6CF490>]",gpt-4o,random,singletoken,50,0.08333333333333333,game data removed to save disk size,gpt-4o_singletoken
"[<__main__.GaussianBandit object at 0x00000276DC6CF150>, <__main__.GaussianBandit object at 0x00000276DC6CCC90>, <__main__.GaussianBandit object at 0x00000276DC6CEBD0>]",gpt-4o,greedy,singletoken,20,0.6666666666666666,game data removed to save disk size,gpt-4o_singletoken
"[<__main__.GaussianBandit object at 0x00000276DC6CD250>, <__main__.GaussianBandit object at 0x00000276DC6CDA90>, <__main__.GaussianBandit object at 0x00000276DC6CC4D0>]",gpt-4o,greedy,singletoken,35,0.8333333333333334,game data removed to save disk size,gpt-4o_singletoken
"[<__main__.GaussianBandit object at 0x00000276DC6CCD10>, <__main__.GaussianBandit object at 0x00000276DC6CCB50>, <__main__.GaussianBandit object at 0x00000276DC6CD010>]",gpt-4o,greedy,singletoken,50,0.75,game data removed to save disk size,gpt-4o_singletoken
"[<__main__.GaussianBandit object at 0x00000276DE6F6A10>, <__main__.GaussianBandit object at 0x00000276DE6F6F90>, <__main__.GaussianBandit object at 0x00000276DE6F6910>]",gpt-4o,ucb,singletoken,20,0.0,game data removed to save disk size,gpt-4o_singletoken
"[<__main__.GaussianBandit object at 0x00000276DE6F5890>, <__main__.GaussianBandit object at 0x00000276DE6F6ED0>, <__main__.GaussianBandit object at 0x00000276DE6F4990>]",gpt-4o,ucb,singletoken,35,0.0,game data removed to save disk size,gpt-4o_singletoken
"[<__main__.GaussianBandit object at 0x00000276DE6F6410>, <__main__.GaussianBandit object at 0x00000276DE6F5090>, <__main__.GaussianBandit object at 0x00000276DE6F58D0>]",gpt-4o,ucb,singletoken,50,0.0,game data removed to save disk size,gpt-4o_singletoken
"[<__main__.GaussianBandit object at 0x00000276DD6663D0>, <__main__.GaussianBandit object at 0x00000276DD07AB50>, <__main__.GaussianBandit object at 0x00000276DB7A62D0>]",gpt-3.5-turbo,intuitive,cot,20,0.4166666666666667,game data removed to save disk size,gpt-3.5-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276E08F5650>, <__main__.GaussianBandit object at 0x00000276DB7ACC50>, <__main__.GaussianBandit object at 0x00000276DDD64FD0>]",gpt-3.5-turbo,intuitive,cot,30,0.5833333333333334,game data removed to save disk size,gpt-3.5-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276E0137310>, <__main__.GaussianBandit object at 0x00000276E01367D0>, <__main__.GaussianBandit object at 0x00000276E0137F90>]",gpt-3.5-turbo,intuitive,cot,35,0.08333333333333333,game data removed to save disk size,gpt-3.5-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276DE417D50>, <__main__.GaussianBandit object at 0x00000276DE414350>, <__main__.GaussianBandit object at 0x00000276DE417AD0>]",gpt-3.5-turbo,intuitive,cot,40,0.8333333333333334,game data removed to save disk size,gpt-3.5-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276DC62DE50>, <__main__.GaussianBandit object at 0x00000276DC62E790>, <__main__.GaussianBandit object at 0x00000276DC62D850>]",gpt-3.5-turbo,intuitive,cot,50,0.08333333333333333,game data removed to save disk size,gpt-3.5-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276DE441310>, <__main__.GaussianBandit object at 0x00000276DE440810>, <__main__.GaussianBandit object at 0x00000276DE440310>]",gpt-3.5-turbo,intuitive,singletoken,20,0.3333333333333333,game data removed to save disk size,gpt-3.5-turbo_singletoken
"[<__main__.GaussianBandit object at 0x00000276E0841850>, <__main__.GaussianBandit object at 0x00000276DE3E5190>, <__main__.GaussianBandit object at 0x00000276DE3E7250>]",gpt-3.5-turbo,intuitive,singletoken,30,0.3333333333333333,game data removed to save disk size,gpt-3.5-turbo_singletoken
"[<__main__.GaussianBandit object at 0x00000276DE3E4E90>, <__main__.GaussianBandit object at 0x00000276DE3E6B50>, <__main__.GaussianBandit object at 0x00000276DE3E60D0>]",gpt-3.5-turbo,intuitive,singletoken,35,0.25,game data removed to save disk size,gpt-3.5-turbo_singletoken
"[<__main__.GaussianBandit object at 0x00000276DE3E4D90>, <__main__.GaussianBandit object at 0x00000276DE3E43D0>, <__main__.GaussianBandit object at 0x00000276E0837510>]",gpt-3.5-turbo,intuitive,singletoken,40,0.08333333333333333,game data removed to save disk size,gpt-3.5-turbo_singletoken
"[<__main__.GaussianBandit object at 0x00000276E0201310>, <__main__.GaussianBandit object at 0x00000276E0202650>, <__main__.GaussianBandit object at 0x00000276E02016D0>]",gpt-3.5-turbo,intuitive,singletoken,50,0.25,game data removed to save disk size,gpt-3.5-turbo_singletoken
"[<__main__.GaussianBandit object at 0x00000276E08666D0>, <__main__.GaussianBandit object at 0x00000276E0866410>, <__main__.GaussianBandit object at 0x00000276E0865110>]",gpt-4-turbo,intuitive,cot,20,0.8333333333333334,game data removed to save disk size,gpt-4-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276DD2AD250>, <__main__.GaussianBandit object at 0x00000276DD2AF290>, <__main__.GaussianBandit object at 0x00000276DD2AD650>]",gpt-4-turbo,intuitive,cot,30,0.4166666666666667,game data removed to save disk size,gpt-4-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276DD2AFED0>, <__main__.GaussianBandit object at 0x00000276DD2ADA10>, <__main__.GaussianBandit object at 0x00000276DD2AD050>]",gpt-4-turbo,intuitive,cot,35,0.75,game data removed to save disk size,gpt-4-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276DD2ADB50>, <__main__.GaussianBandit object at 0x00000276DD2ADF90>, <__main__.GaussianBandit object at 0x00000276DD2AC510>]",gpt-4-turbo,intuitive,cot,40,0.75,game data removed to save disk size,gpt-4-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276DD2AE9D0>, <__main__.GaussianBandit object at 0x00000276DD2AE650>, <__main__.GaussianBandit object at 0x00000276DD2AF6D0>]",gpt-4-turbo,intuitive,cot,50,0.6666666666666666,game data removed to save disk size,gpt-4-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276DD2AFE10>, <__main__.GaussianBandit object at 0x00000276DD2AC290>, <__main__.GaussianBandit object at 0x00000276DD2ADE50>]",gpt-4-turbo,intuitive,singletoken,20,0.08333333333333333,game data removed to save disk size,gpt-4-turbo_singletoken
"[<__main__.GaussianBandit object at 0x00000276DD2ADAD0>, <__main__.GaussianBandit object at 0x00000276DD2AE3D0>, <__main__.GaussianBandit object at 0x00000276DD2AFA50>]",gpt-4-turbo,intuitive,singletoken,30,0.8333333333333334,game data removed to save disk size,gpt-4-turbo_singletoken
"[<__main__.GaussianBandit object at 0x00000276DD2AEF90>, <__main__.GaussianBandit object at 0x00000276DD2AC850>, <__main__.GaussianBandit object at 0x00000276DD2AE510>]",gpt-4-turbo,intuitive,singletoken,35,0.8333333333333334,game data removed to save disk size,gpt-4-turbo_singletoken
"[<__main__.GaussianBandit object at 0x00000276DD2AFE90>, <__main__.GaussianBandit object at 0x00000276DD2AFB90>, <__main__.GaussianBandit object at 0x00000276DD2ADD50>]",gpt-4-turbo,intuitive,singletoken,40,0.8333333333333334,game data removed to save disk size,gpt-4-turbo_singletoken
"[<__main__.GaussianBandit object at 0x00000276DD2AC6D0>, <__main__.GaussianBandit object at 0x00000276DD2AD850>, <__main__.GaussianBandit object at 0x00000276DD2AFF10>]",gpt-4-turbo,intuitive,singletoken,50,0.8333333333333334,game data removed to save disk size,gpt-4-turbo_singletoken
"[<__main__.GaussianBandit object at 0x00000276DD2AD390>, <__main__.GaussianBandit object at 0x00000276DD2ADC10>, <__main__.GaussianBandit object at 0x00000276DD2AD750>]",gpt-4o,intuitive,cot,20,0.5,game data removed to save disk size,gpt-4o_cot
"[<__main__.GaussianBandit object at 0x00000276DD2AE2D0>, <__main__.GaussianBandit object at 0x00000276DD2AF010>, <__main__.GaussianBandit object at 0x00000276DD2AEB10>]",gpt-4o,intuitive,cot,30,0.6666666666666666,game data removed to save disk size,gpt-4o_cot
"[<__main__.GaussianBandit object at 0x00000276DCAC27D0>, <__main__.GaussianBandit object at 0x00000276DCAC2C50>, <__main__.GaussianBandit object at 0x00000276DCAC2950>]",gpt-4o,intuitive,cot,35,0.6666666666666666,game data removed to save disk size,gpt-4o_cot
"[<__main__.GaussianBandit object at 0x00000276E0145E90>, <__main__.GaussianBandit object at 0x00000276E0146250>, <__main__.GaussianBandit object at 0x00000276E0145750>]",gpt-4o,intuitive,cot,40,0.6666666666666666,game data removed to save disk size,gpt-4o_cot
"[<__main__.GaussianBandit object at 0x00000276DE4312D0>, <__main__.GaussianBandit object at 0x00000276DE4307D0>, <__main__.GaussianBandit object at 0x00000276DE430E90>]",gpt-4o,intuitive,cot,50,0.6666666666666666,game data removed to save disk size,gpt-4o_cot
"[<__main__.GaussianBandit object at 0x00000276DC792B50>, <__main__.GaussianBandit object at 0x00000276DCF03A10>, <__main__.GaussianBandit object at 0x00000276DCEF7B50>]",gpt-3.5-turbo,random,cot,25,0.3333333333333333,game data removed to save disk size,gpt-3.5-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276DD2BB590>, <__main__.GaussianBandit object at 0x00000276DD2BB510>, <__main__.GaussianBandit object at 0x00000276DD2B93D0>]",gpt-3.5-turbo,random,cot,30,0.3333333333333333,game data removed to save disk size,gpt-3.5-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276DD2B8F90>, <__main__.GaussianBandit object at 0x00000276DD2B9050>, <__main__.GaussianBandit object at 0x00000276DD2BAC50>]",gpt-3.5-turbo,random,cot,40,0.4166666666666667,game data removed to save disk size,gpt-3.5-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276DC5DC610>, <__main__.GaussianBandit object at 0x00000276DC5DE2D0>, <__main__.GaussianBandit object at 0x00000276DC5DDD10>]",gpt-3.5-turbo,random,cot,45,0.5,game data removed to save disk size,gpt-3.5-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276DC5DC690>, <__main__.GaussianBandit object at 0x00000276DC5DE810>, <__main__.GaussianBandit object at 0x00000276DC5DCD50>]",gpt-3.5-turbo,greedy,cot,25,0.5833333333333334,game data removed to save disk size,gpt-3.5-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276DC5DF410>, <__main__.GaussianBandit object at 0x00000276DC5DD6D0>, <__main__.GaussianBandit object at 0x00000276DC5DE6D0>]",gpt-3.5-turbo,greedy,cot,30,0.0,game data removed to save disk size,gpt-3.5-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276E01B83D0>, <__main__.GaussianBandit object at 0x00000276E01B8750>, <__main__.GaussianBandit object at 0x00000276E01B8110>]",gpt-3.5-turbo,greedy,cot,40,0.8333333333333334,game data removed to save disk size,gpt-3.5-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276E01BA4D0>, <__main__.GaussianBandit object at 0x00000276DCEDED90>, <__main__.GaussianBandit object at 0x00000276DCEDE790>]",gpt-3.5-turbo,greedy,cot,45,0.8333333333333334,game data removed to save disk size,gpt-3.5-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276DCEDCAD0>, <__main__.GaussianBandit object at 0x00000276DCEDED50>, <__main__.GaussianBandit object at 0x00000276DCEDF210>]",gpt-3.5-turbo,ucb,cot,25,0.4166666666666667,game data removed to save disk size,gpt-3.5-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276DCEDDED0>, <__main__.GaussianBandit object at 0x00000276DCEDCB10>, <__main__.GaussianBandit object at 0x00000276DCEDC8D0>]",gpt-3.5-turbo,ucb,cot,30,0.3333333333333333,game data removed to save disk size,gpt-3.5-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276DCEDF250>, <__main__.GaussianBandit object at 0x00000276DCEDC290>, <__main__.GaussianBandit object at 0x00000276DCEDF690>]",gpt-3.5-turbo,ucb,cot,40,0.0,game data removed to save disk size,gpt-3.5-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276DCEDFE50>, <__main__.GaussianBandit object at 0x00000276DCEDE1D0>, <__main__.GaussianBandit object at 0x00000276DCEDF310>]",gpt-3.5-turbo,ucb,cot,45,0.8333333333333334,game data removed to save disk size,gpt-3.5-turbo_cot
"[<__main__.GaussianBandit object at 0x00000276DCEDC0D0>, <__main__.GaussianBandit object at 0x00000276DCEDE4D0>, <__main__.GaussianBandit object at 0x00000276DCEDC610>]",gpt-3.5-turbo,random,singletoken,25,0.3333333333333333,game data removed to save disk size,gpt-3.5-turbo_singletoken
"[<__main__.GaussianBandit object at 0x00000276DCEDE550>, <__main__.GaussianBandit object at 0x00000276DCEDD990>, <__main__.GaussianBandit object at 0x00000276DCEDC1D0>]",gpt-3.5-turbo,random,singletoken,30,0.75,game data removed to save disk size,gpt-3.5-turbo_singletoken
"[<__main__.GaussianBandit object at 0x00000276DCF0EE50>, <__main__.GaussianBandit object at 0x00000276DCF0FFD0>, <__main__.GaussianBandit object at 0x00000276DCF0F950>]",gpt-3.5-turbo,random,singletoken,40,0.4166666666666667,game data removed to save disk size,gpt-3.5-turbo_singletoken
"[<__main__.GaussianBandit object at 0x00000276DCF0F4D0>, <__main__.GaussianBandit object at 0x00000276DCF0E350>, <__main__.GaussianBandit object at 0x00000276DCF0CD10>]",gpt-3.5-turbo,random,singletoken,45,0.4166666666666667,game data removed to save disk size,gpt-3.5-turbo_singletoken
"[<__main__.GaussianBandit object at 0x00000276DCF0FCD0>, <__main__.GaussianBandit object at 0x00000276DCF0FBD0>, <__main__.GaussianBandit object at 0x00000276DCF0D050>]",gpt-3.5-turbo,greedy,singletoken,25,0.0,game data removed to save disk size,gpt-3.5-turbo_singletoken
"[<__main__.GaussianBandit object at 0x00000276DCF0D710>, <__main__.GaussianBandit object at 0x00000276DCF0E990>, <__main__.GaussianBandit object at 0x00000276DCF0E910>]",gpt-3.5-turbo,greedy,singletoken,30,0.25,game data removed to save disk size,gpt-3.5-turbo_singletoken
"[<__main__.GaussianBandit object at 0x00000276DCF0F050>, <__main__.GaussianBandit object at 0x00000276DCF0DF50>, <__main__.GaussianBandit object at 0x00000276DCF0EC90>]",gpt-3.5-turbo,greedy,singletoken,40,0.08333333333333333,game data removed to save disk size,gpt-3.5-turbo_singletoken
"[<__main__.GaussianBandit object at 0x00000276DCF0C690>, <__main__.GaussianBandit object at 0x00000276DCF0D990>, <__main__.GaussianBandit object at 0x00000276DCF0CC50>]",gpt-3.5-turbo,greedy,singletoken,45,0.75,game data removed to save disk size,gpt-3.5-turbo_singletoken
"[<__main__.GaussianBandit object at 0x00000276DCF0EC50>, <__main__.GaussianBandit object at 0x00000276DCF0C4D0>, <__main__.GaussianBandit object at 0x00000276DCF0C150>]",gpt-3.5-turbo,ucb,singletoken,25,0.08333333333333333,game data removed to save disk size,gpt-3.5-turbo_singletoken
