problem,max,factorable,context,index,prefix,switch,switch_index
2x^2 - 10x + 8 = 0,5,True,"We have the equation 2x^2 - 10x + 8 = 0.

First, we can factor out a 2: 

2(x^2 - 5x + 4) = 0.

Then, we can set the factor (x^2 - 5x + 4) equal to zero and factor it:

x^2 - 5x + 4 = 0
(x - 4)(x - 1) = 0

Then, we can set each factor (x - 4) and (x - 1) equal to zero and solve for x:

x - 4 = 0 yields x = 4
x - 1 = 0 yields x = 1

So the roots of the quadratic equation 2x^2 - 10x + 8 = 0 are 1 and 4.",3,"We have the equation 2x^2 - 10x + 8 = 0.

First, we can factor out a 2: 

2(x^2 - 5x + 4) = 0.

Then, we can set the factor (x^2 - 5x + 4) equal to zero and factor it:

x^2 - 5x + 4 = 0
(x - 4)(x - 1)",0,9
2x^2 - 10x + 8 = 0,5,True,"We have the equation 2x^2 - 10x + 8 = 0.

First, we can factor out a 2: 

2(x^2 - 5x + 4) = 0.

Then, we can set the factor (x^2 - 5x + 4) equal to zero and factor it:

x^2 - 5x + 4 = 0
(x - 4)(x - 1) = 0

Then, we can set each factor (x - 4) and (x - 1) equal to zero and solve for x:

x - 4 = 0 yields x = 4
x - 1 = 0 yields x = 1

So the roots of the quadratic equation 2x^2 - 10x + 8 = 0 are 1 and 4.",4,"We have the equation 2x^2 - 10x + 8 = 0.

First, we can factor out a 2: 

2(x^2 - 5x + 4) = 0.

Then, we can set the factor (x^2 - 5x + 4) equal to zero and factor it:

x^2 - 5x + 4 = 0
(x - 4)(x - 1) = 0

Then, we can set each factor (x - 4) and (x ",0,9
2x^2 - 10x + 8 = 0,5,True,"We have the equation 2x^2 - 10x + 8 = 0.

First, we can factor out a 2: 

2(x^2 - 5x + 4) = 0.

Then, we can set the factor (x^2 - 5x + 4) equal to zero and factor it:

x^2 - 5x + 4 = 0
(x - 4)(x - 1) = 0

Then, we can set each factor (x - 4) and (x - 1) equal to zero and solve for x:

x - 4 = 0 yields x = 4
x - 1 = 0 yields x = 1

So the roots of the quadratic equation 2x^2 - 10x + 8 = 0 are 1 and 4.",5,"We have the equation 2x^2 - 10x + 8 = 0.

First, we can factor out a 2: 

2(x^2 - 5x + 4) = 0.

Then, we can set the factor (x^2 - 5x + 4) equal to zero and factor it:

x^2 - 5x + 4 = 0
(x - 4)(x - 1) = 0

Then, we can set each factor (x - 4) and (x - 1) equal to zero and solve for x:

x - 4 = 0 yie",0,9
2x^2 - 10x + 8 = 0,5,True,"We have the equation 2x^2 - 10x + 8 = 0.

First, we can factor out a 2: 

2(x^2 - 5x + 4) = 0.

Then, we can set the factor (x^2 - 5x + 4) equal to zero and factor it:

x^2 - 5x + 4 = 0
(x - 4)(x - 1) = 0

Then, we can set each factor (x - 4) and (x - 1) equal to zero and solve for x:

x - 4 = 0 yields x = 4
x - 1 = 0 yields x = 1

So the roots of the quadratic equation 2x^2 - 10x + 8 = 0 are 1 and 4.",6,"We have the equation 2x^2 - 10x + 8 = 0.

First, we can factor out a 2: 

2(x^2 - 5x + 4) = 0.

Then, we can set the factor (x^2 - 5x + 4) equal to zero and factor it:

x^2 - 5x + 4 = 0
(x - 4)(x - 1) = 0

Then, we can set each factor (x - 4) and (x - 1) equal to zero and solve for x:

x - 4 = 0 yields x = 4
x - 1 = 0 yields x = 1

So the roots of ",0,9
2x^2 - 10x + 8 = 0,5,True,"We have the equation 2x^2 - 10x + 8 = 0.

First, we can factor out a 2: 

2(x^2 - 5x + 4) = 0.

Then, we can set the factor (x^2 - 5x + 4) equal to zero and factor it:

x^2 - 5x + 4 = 0
(x - 4)(x - 1) = 0

Then, we can set each factor (x - 4) and (x - 1) equal to zero and solve for x:

x - 4 = 0 yields x = 4
x - 1 = 0 yields x = 1

So the roots of the quadratic equation 2x^2 - 10x + 8 = 0 are 1 and 4.",7,"We have the equation 2x^2 - 10x + 8 = 0.

First, we can factor out a 2: 

2(x^2 - 5x + 4) = 0.

Then, we can set the factor (x^2 - 5x + 4) equal to zero and factor it:

x^2 - 5x + 4 = 0
(x - 4)(x - 1) = 0

Then, we can set each factor (x - 4) and (x - 1) equal to zero and solve for x:

x - 4 = 0 yields x = 4
x - 1 = 0 yields x = 1

So the roots of the quadratic equation 2x^2 - 10x + 8 = 0 are 1 an",0,9
2x^2 - 10x + 8 = 0,5,True,"We have the equation 2x^2 - 10x + 8 = 0.

First, we can factor out a 2: 

2(x^2 - 5x + 4) = 0.

Then, we can set the factor (x^2 - 5x + 4) equal to zero and factor it:

x^2 - 5x + 4 = 0
(x - 4)(x - 1) = 0

Then, we can set each factor (x - 4) and (x - 1) equal to zero and solve for x:

x - 4 = 0 yields x = 4
x - 1 = 0 yields x = 1

So the roots of the quadratic equation 2x^2 - 10x + 8 = 0 are 1 and 4.",8,"We have the equation 2x^2 - 10x + 8 = 0.

First, we can factor out a 2: 

2(x^2 - 5x + 4) = 0.

Then, we can set the factor (x^2 - 5x + 4) equal to zero and factor it:

x^2 - 5x + 4 = 0
(x - 4)(x - 1) = 0

Then, we can set each factor (x - 4) and (x - 1) equal to zero and solve for x:

x - 4 = 0 yields x = 4
x - 1 = 0 yields x = 1

So the roots of the quadratic equation 2x^2 - 10x + 8 = 0 are 1 and 4.",0,9
4x^2 - 28x + 40 = 0,5,True,"I'll start by factoring out the common factor of 4 from all terms in the equation. This leads to the equation:

4(x^2 - 7x + 10) = 0

Now, let's factorise x^2 - 7x + 10:

(x - 5)(x - 2) = 0.

Setting each factor equal to zero gives the solutions:

x - 5 = 0   -->   x = 5
x - 2 = 0   -->   x = 2

Therefore, the roots of the equation 4x^2 - 28x + 40 = 0 are x = 5 and x = 2.",0,I'll start by factoring out the common factor of 4,0,8
4x^2 - 28x + 40 = 0,5,True,"I'll start by factoring out the common factor of 4 from all terms in the equation. This leads to the equation:

4(x^2 - 7x + 10) = 0

Now, let's factorise x^2 - 7x + 10:

(x - 5)(x - 2) = 0.

Setting each factor equal to zero gives the solutions:

x - 5 = 0   -->   x = 5
x - 2 = 0   -->   x = 2

Therefore, the roots of the equation 4x^2 - 28x + 40 = 0 are x = 5 and x = 2.",1,I'll start by factoring out the common factor of 4 from all terms in the equation. This leads to the,0,8
4x^2 - 28x + 40 = 0,5,True,"I'll start by factoring out the common factor of 4 from all terms in the equation. This leads to the equation:

4(x^2 - 7x + 10) = 0

Now, let's factorise x^2 - 7x + 10:

(x - 5)(x - 2) = 0.

Setting each factor equal to zero gives the solutions:

x - 5 = 0   -->   x = 5
x - 2 = 0   -->   x = 2

Therefore, the roots of the equation 4x^2 - 28x + 40 = 0 are x = 5 and x = 2.",2,"I'll start by factoring out the common factor of 4 from all terms in the equation. This leads to the equation:

4(x^2 - 7x + 10) = 0

Now, let's facto",0,8
4x^2 - 28x + 40 = 0,5,True,"I'll start by factoring out the common factor of 4 from all terms in the equation. This leads to the equation:

4(x^2 - 7x + 10) = 0

Now, let's factorise x^2 - 7x + 10:

(x - 5)(x - 2) = 0.

Setting each factor equal to zero gives the solutions:

x - 5 = 0   -->   x = 5
x - 2 = 0   -->   x = 2

Therefore, the roots of the equation 4x^2 - 28x + 40 = 0 are x = 5 and x = 2.",3,"I'll start by factoring out the common factor of 4 from all terms in the equation. This leads to the equation:

4(x^2 - 7x + 10) = 0

Now, let's factorise x^2 - 7x + 10:

(x - 5)(x - 2) = 0.

Setting ",0,8
4x^2 - 28x + 40 = 0,5,True,"I'll start by factoring out the common factor of 4 from all terms in the equation. This leads to the equation:

4(x^2 - 7x + 10) = 0

Now, let's factorise x^2 - 7x + 10:

(x - 5)(x - 2) = 0.

Setting each factor equal to zero gives the solutions:

x - 5 = 0   -->   x = 5
x - 2 = 0   -->   x = 2

Therefore, the roots of the equation 4x^2 - 28x + 40 = 0 are x = 5 and x = 2.",4,"I'll start by factoring out the common factor of 4 from all terms in the equation. This leads to the equation:

4(x^2 - 7x + 10) = 0

Now, let's factorise x^2 - 7x + 10:

(x - 5)(x - 2) = 0.

Setting each factor equal to zero gives the solutions:

x ",0,8
4x^2 - 28x + 40 = 0,5,True,"I'll start by factoring out the common factor of 4 from all terms in the equation. This leads to the equation:

4(x^2 - 7x + 10) = 0

Now, let's factorise x^2 - 7x + 10:

(x - 5)(x - 2) = 0.

Setting each factor equal to zero gives the solutions:

x - 5 = 0   -->   x = 5
x - 2 = 0   -->   x = 2

Therefore, the roots of the equation 4x^2 - 28x + 40 = 0 are x = 5 and x = 2.",5,"I'll start by factoring out the common factor of 4 from all terms in the equation. This leads to the equation:

4(x^2 - 7x + 10) = 0

Now, let's factorise x^2 - 7x + 10:

(x - 5)(x - 2) = 0.

Setting each factor equal to zero gives the solutions:

x - 5 = 0   -->   x = 5
x - 2 = 0   -->   x = 2

The",0,8
4x^2 - 28x + 40 = 0,5,True,"I'll start by factoring out the common factor of 4 from all terms in the equation. This leads to the equation:

4(x^2 - 7x + 10) = 0

Now, let's factorise x^2 - 7x + 10:

(x - 5)(x - 2) = 0.

Setting each factor equal to zero gives the solutions:

x - 5 = 0   -->   x = 5
x - 2 = 0   -->   x = 2

Therefore, the roots of the equation 4x^2 - 28x + 40 = 0 are x = 5 and x = 2.",6,"I'll start by factoring out the common factor of 4 from all terms in the equation. This leads to the equation:

4(x^2 - 7x + 10) = 0

Now, let's factorise x^2 - 7x + 10:

(x - 5)(x - 2) = 0.

Setting each factor equal to zero gives the solutions:

x - 5 = 0   -->   x = 5
x - 2 = 0   -->   x = 2

Therefore, the roots of the equation 4x^2 - 28x + 40 ",0,8
4x^2 - 28x + 40 = 0,5,True,"I'll start by factoring out the common factor of 4 from all terms in the equation. This leads to the equation:

4(x^2 - 7x + 10) = 0

Now, let's factorise x^2 - 7x + 10:

(x - 5)(x - 2) = 0.

Setting each factor equal to zero gives the solutions:

x - 5 = 0   -->   x = 5
x - 2 = 0   -->   x = 2

Therefore, the roots of the equation 4x^2 - 28x + 40 = 0 are x = 5 and x = 2.",7,"I'll start by factoring out the common factor of 4 from all terms in the equation. This leads to the equation:

4(x^2 - 7x + 10) = 0

Now, let's factorise x^2 - 7x + 10:

(x - 5)(x - 2) = 0.

Setting each factor equal to zero gives the solutions:

x - 5 = 0   -->   x = 5
x - 2 = 0   -->   x = 2

Therefore, the roots of the equation 4x^2 - 28x + 40 = 0 are x = 5 and x = 2.",0,8
4x^2 - 24x + 20 = 0,5,True,"The given equation is 4x^2 - 24x + 20 = 0.

First, factor by common factor (4) from all terms in the quadratic equation. 

This will leave:

4(x^2 - 6x + 5) = 0

Next, we then set the expression in the parenthesis equal to zero since the product of this and 4 gives zero. The equation to solve then becomes:

x^2 - 6x + 5 = 0

We look for factors of 5 that sum up to 6. The factors are 5 and 1.

Therefore we can factorize the equation to be: 

(x -1)(x -5) = 0

Using the zero-product property (if ab=0, then a=0 or b=0), we have:

x - 1 = 0    or    x - 5 = 0 

Solving these equations gives the roots of the given equation as:

x = 1  or x = 5.",0,"The given equation is 4x^2 - 24x + 20 = 0.

First,",0,13
4x^2 - 24x + 20 = 0,5,True,"The given equation is 4x^2 - 24x + 20 = 0.

First, factor by common factor (4) from all terms in the quadratic equation. 

This will leave:

4(x^2 - 6x + 5) = 0

Next, we then set the expression in the parenthesis equal to zero since the product of this and 4 gives zero. The equation to solve then becomes:

x^2 - 6x + 5 = 0

We look for factors of 5 that sum up to 6. The factors are 5 and 1.

Therefore we can factorize the equation to be: 

(x -1)(x -5) = 0

Using the zero-product property (if ab=0, then a=0 or b=0), we have:

x - 1 = 0    or    x - 5 = 0 

Solving these equations gives the roots of the given equation as:

x = 1  or x = 5.",1,"The given equation is 4x^2 - 24x + 20 = 0.

First, factor by common factor (4) from all terms in the",0,13
4x^2 - 24x + 20 = 0,5,True,"The given equation is 4x^2 - 24x + 20 = 0.

First, factor by common factor (4) from all terms in the quadratic equation. 

This will leave:

4(x^2 - 6x + 5) = 0

Next, we then set the expression in the parenthesis equal to zero since the product of this and 4 gives zero. The equation to solve then becomes:

x^2 - 6x + 5 = 0

We look for factors of 5 that sum up to 6. The factors are 5 and 1.

Therefore we can factorize the equation to be: 

(x -1)(x -5) = 0

Using the zero-product property (if ab=0, then a=0 or b=0), we have:

x - 1 = 0    or    x - 5 = 0 

Solving these equations gives the roots of the given equation as:

x = 1  or x = 5.",2,"The given equation is 4x^2 - 24x + 20 = 0.

First, factor by common factor (4) from all terms in the quadratic equation. 

This will leave:

4(x^2 - 6",0,13
4x^2 - 24x + 20 = 0,5,True,"The given equation is 4x^2 - 24x + 20 = 0.

First, factor by common factor (4) from all terms in the quadratic equation. 

This will leave:

4(x^2 - 6x + 5) = 0

Next, we then set the expression in the parenthesis equal to zero since the product of this and 4 gives zero. The equation to solve then becomes:

x^2 - 6x + 5 = 0

We look for factors of 5 that sum up to 6. The factors are 5 and 1.

Therefore we can factorize the equation to be: 

(x -1)(x -5) = 0

Using the zero-product property (if ab=0, then a=0 or b=0), we have:

x - 1 = 0    or    x - 5 = 0 

Solving these equations gives the roots of the given equation as:

x = 1  or x = 5.",3,"The given equation is 4x^2 - 24x + 20 = 0.

First, factor by common factor (4) from all terms in the quadratic equation. 

This will leave:

4(x^2 - 6x + 5) = 0

Next, we then set the expression in th",0,13
4x^2 - 24x + 20 = 0,5,True,"The given equation is 4x^2 - 24x + 20 = 0.

First, factor by common factor (4) from all terms in the quadratic equation. 

This will leave:

4(x^2 - 6x + 5) = 0

Next, we then set the expression in the parenthesis equal to zero since the product of this and 4 gives zero. The equation to solve then becomes:

x^2 - 6x + 5 = 0

We look for factors of 5 that sum up to 6. The factors are 5 and 1.

Therefore we can factorize the equation to be: 

(x -1)(x -5) = 0

Using the zero-product property (if ab=0, then a=0 or b=0), we have:

x - 1 = 0    or    x - 5 = 0 

Solving these equations gives the roots of the given equation as:

x = 1  or x = 5.",4,"The given equation is 4x^2 - 24x + 20 = 0.

First, factor by common factor (4) from all terms in the quadratic equation. 

This will leave:

4(x^2 - 6x + 5) = 0

Next, we then set the expression in the parenthesis equal to zero since the product of t",0,13
4x^2 - 24x + 20 = 0,5,True,"The given equation is 4x^2 - 24x + 20 = 0.

First, factor by common factor (4) from all terms in the quadratic equation. 

This will leave:

4(x^2 - 6x + 5) = 0

Next, we then set the expression in the parenthesis equal to zero since the product of this and 4 gives zero. The equation to solve then becomes:

x^2 - 6x + 5 = 0

We look for factors of 5 that sum up to 6. The factors are 5 and 1.

Therefore we can factorize the equation to be: 

(x -1)(x -5) = 0

Using the zero-product property (if ab=0, then a=0 or b=0), we have:

x - 1 = 0    or    x - 5 = 0 

Solving these equations gives the roots of the given equation as:

x = 1  or x = 5.",5,"The given equation is 4x^2 - 24x + 20 = 0.

First, factor by common factor (4) from all terms in the quadratic equation. 

This will leave:

4(x^2 - 6x + 5) = 0

Next, we then set the expression in the parenthesis equal to zero since the product of this and 4 gives zero. The equation to solve then b",0,13
4x^2 - 24x + 20 = 0,5,True,"The given equation is 4x^2 - 24x + 20 = 0.

First, factor by common factor (4) from all terms in the quadratic equation. 

This will leave:

4(x^2 - 6x + 5) = 0

Next, we then set the expression in the parenthesis equal to zero since the product of this and 4 gives zero. The equation to solve then becomes:

x^2 - 6x + 5 = 0

We look for factors of 5 that sum up to 6. The factors are 5 and 1.

Therefore we can factorize the equation to be: 

(x -1)(x -5) = 0

Using the zero-product property (if ab=0, then a=0 or b=0), we have:

x - 1 = 0    or    x - 5 = 0 

Solving these equations gives the roots of the given equation as:

x = 1  or x = 5.",6,"The given equation is 4x^2 - 24x + 20 = 0.

First, factor by common factor (4) from all terms in the quadratic equation. 

This will leave:

4(x^2 - 6x + 5) = 0

Next, we then set the expression in the parenthesis equal to zero since the product of this and 4 gives zero. The equation to solve then becomes:

x^2 - 6x + 5 = 0

We look for factors of ",0,13
4x^2 - 24x + 20 = 0,5,True,"The given equation is 4x^2 - 24x + 20 = 0.

First, factor by common factor (4) from all terms in the quadratic equation. 

This will leave:

4(x^2 - 6x + 5) = 0

Next, we then set the expression in the parenthesis equal to zero since the product of this and 4 gives zero. The equation to solve then becomes:

x^2 - 6x + 5 = 0

We look for factors of 5 that sum up to 6. The factors are 5 and 1.

Therefore we can factorize the equation to be: 

(x -1)(x -5) = 0

Using the zero-product property (if ab=0, then a=0 or b=0), we have:

x - 1 = 0    or    x - 5 = 0 

Solving these equations gives the roots of the given equation as:

x = 1  or x = 5.",7,"The given equation is 4x^2 - 24x + 20 = 0.

First, factor by common factor (4) from all terms in the quadratic equation. 

This will leave:

4(x^2 - 6x + 5) = 0

Next, we then set the expression in the parenthesis equal to zero since the product of this and 4 gives zero. The equation to solve then becomes:

x^2 - 6x + 5 = 0

We look for factors of 5 that sum up to 6. The factors are 5 and 1.

Ther",0,13
4x^2 - 24x + 20 = 0,5,True,"The given equation is 4x^2 - 24x + 20 = 0.

First, factor by common factor (4) from all terms in the quadratic equation. 

This will leave:

4(x^2 - 6x + 5) = 0

Next, we then set the expression in the parenthesis equal to zero since the product of this and 4 gives zero. The equation to solve then becomes:

x^2 - 6x + 5 = 0

We look for factors of 5 that sum up to 6. The factors are 5 and 1.

Therefore we can factorize the equation to be: 

(x -1)(x -5) = 0

Using the zero-product property (if ab=0, then a=0 or b=0), we have:

x - 1 = 0    or    x - 5 = 0 

Solving these equations gives the roots of the given equation as:

x = 1  or x = 5.",8,"The given equation is 4x^2 - 24x + 20 = 0.

First, factor by common factor (4) from all terms in the quadratic equation. 

This will leave:

4(x^2 - 6x + 5) = 0

Next, we then set the expression in the parenthesis equal to zero since the product of this and 4 gives zero. The equation to solve then becomes:

x^2 - 6x + 5 = 0

We look for factors of 5 that sum up to 6. The factors are 5 and 1.

Therefore we can factorize the equation to be: 

(x -1",0,13
4x^2 - 24x + 20 = 0,5,True,"The given equation is 4x^2 - 24x + 20 = 0.

First, factor by common factor (4) from all terms in the quadratic equation. 

This will leave:

4(x^2 - 6x + 5) = 0

Next, we then set the expression in the parenthesis equal to zero since the product of this and 4 gives zero. The equation to solve then becomes:

x^2 - 6x + 5 = 0

We look for factors of 5 that sum up to 6. The factors are 5 and 1.

Therefore we can factorize the equation to be: 

(x -1)(x -5) = 0

Using the zero-product property (if ab=0, then a=0 or b=0), we have:

x - 1 = 0    or    x - 5 = 0 

Solving these equations gives the roots of the given equation as:

x = 1  or x = 5.",9,"The given equation is 4x^2 - 24x + 20 = 0.

First, factor by common factor (4) from all terms in the quadratic equation. 

This will leave:

4(x^2 - 6x + 5) = 0

Next, we then set the expression in the parenthesis equal to zero since the product of this and 4 gives zero. The equation to solve then becomes:

x^2 - 6x + 5 = 0

We look for factors of 5 that sum up to 6. The factors are 5 and 1.

Therefore we can factorize the equation to be: 

(x -1)(x -5) = 0

Using the zero-product property (if a",0,13
4x^2 - 24x + 20 = 0,5,True,"The given equation is 4x^2 - 24x + 20 = 0.

First, factor by common factor (4) from all terms in the quadratic equation. 

This will leave:

4(x^2 - 6x + 5) = 0

Next, we then set the expression in the parenthesis equal to zero since the product of this and 4 gives zero. The equation to solve then becomes:

x^2 - 6x + 5 = 0

We look for factors of 5 that sum up to 6. The factors are 5 and 1.

Therefore we can factorize the equation to be: 

(x -1)(x -5) = 0

Using the zero-product property (if ab=0, then a=0 or b=0), we have:

x - 1 = 0    or    x - 5 = 0 

Solving these equations gives the roots of the given equation as:

x = 1  or x = 5.",10,"The given equation is 4x^2 - 24x + 20 = 0.

First, factor by common factor (4) from all terms in the quadratic equation. 

This will leave:

4(x^2 - 6x + 5) = 0

Next, we then set the expression in the parenthesis equal to zero since the product of this and 4 gives zero. The equation to solve then becomes:

x^2 - 6x + 5 = 0

We look for factors of 5 that sum up to 6. The factors are 5 and 1.

Therefore we can factorize the equation to be: 

(x -1)(x -5) = 0

Using the zero-product property (if ab=0, then a=0 or b=0), we have:

x - 1 = 0    or  ",0,13
4x^2 - 24x + 20 = 0,5,True,"The given equation is 4x^2 - 24x + 20 = 0.

First, factor by common factor (4) from all terms in the quadratic equation. 

This will leave:

4(x^2 - 6x + 5) = 0

Next, we then set the expression in the parenthesis equal to zero since the product of this and 4 gives zero. The equation to solve then becomes:

x^2 - 6x + 5 = 0

We look for factors of 5 that sum up to 6. The factors are 5 and 1.

Therefore we can factorize the equation to be: 

(x -1)(x -5) = 0

Using the zero-product property (if ab=0, then a=0 or b=0), we have:

x - 1 = 0    or    x - 5 = 0 

Solving these equations gives the roots of the given equation as:

x = 1  or x = 5.",11,"The given equation is 4x^2 - 24x + 20 = 0.

First, factor by common factor (4) from all terms in the quadratic equation. 

This will leave:

4(x^2 - 6x + 5) = 0

Next, we then set the expression in the parenthesis equal to zero since the product of this and 4 gives zero. The equation to solve then becomes:

x^2 - 6x + 5 = 0

We look for factors of 5 that sum up to 6. The factors are 5 and 1.

Therefore we can factorize the equation to be: 

(x -1)(x -5) = 0

Using the zero-product property (if ab=0, then a=0 or b=0), we have:

x - 1 = 0    or    x - 5 = 0 

Solving these equations gives the ro",0,13
